,EnglishUS,Russian,German,French,Spanish,Polish,Turkish,BrazilianPortugal,Korean,Japanese,ChineseSimp
poq.weapon.suffix.max_durability.5.tooltip,of the Aetheric Shell,Эфирной оболочки,von der Ätherischen Schale,de Coquille Éthérique,de la Concha Etérica,Aetherycznej Powłoki,Eterik Kabuk,da Casca Aérea,의 에테르 껍데기,のエーテリックシェル,的以太壳
poq.weapon.suffix.damage.1.tooltip,of Calibrated Force,Калиброванной силы,von Kalibrierten Kraft,de Force Calibrée,de Fuerza Calibrada,Skalibrowanej Siły,Kalibre Edilmiş Güç,da Força Calibrada,의 칼리브레이트 힘,のキャリブレーション,的校准力量
poq.weapon.suffix.damage.2.tooltip,of Armor Penetration,Бронепробития,von Rüstungsdurchdringung,de Pénétration d'Armure,de Penetración de Armadura,Penetracji Pancerza,Zırh Penetrasyonu,da Penetração de Armaduras,의 방어구 관통,のアーマーペネトレーション,的装甲穿透
poq.weapon.suffix.damage.3.tooltip,of High Impact,Мощного удара,von Hoher Wirkung,d'Impact Élevé,de Alto Impacto,Wysokiego Uderzenia,Yüksek Etki,do Alto Impacto,의 높은 충격,の高衝撃,的高冲击
poq.weapon.suffix.damage.4.tooltip,of Devastating Force,Разрушительной силы,von Verheerender Kraft,de Force Dévastatrice,de Fuerza Devastadora,Rujnującej Siły,Yıkıcı Güç,da Força Devastadora,의 재앙의 힘,の壊滅的な力,的毁灭力量
poq.weapon.suffix.damage.5.tooltip,of Annihilation,Аннигиляции,von Vernichtung,d'Annihilation,de Aniquilación,Anihilacji,Yok Olma,da Aniquilação,의 전멸,の完全破壊,的消灭
poq.weapon.suffix.crit_damage.1.tooltip,of Basic Overload,Базовой перегрузки,von Grundüberlastung,de Surcharge de Base,de Sobrecarga Básica,Podstawowego Przeładowania,Temel Aşırı Yük,do Sobrecarga Básica,의 기본 과부하,の基本オーバーロード,的基本过载
poq.weapon.suffix.crit_damage.2.tooltip,of Critical Overload,Критической перегрузки,von Kritischer Überlastung,de Surcharge Critique,de Sobrecarga Crítica,Krytycznej Przeładowania,Kritik Aşırı Yük,da Sobrecarga Crítica,의 치명적인 과부하,のクリティカルオーバーロード,的临界过载
poq.weapon.suffix.crit_damage.3.tooltip,of Critical Mass,Критической массы,von Kritischer Masse,de Masse Critique,de Masa Crítica,Krytycznej Masie,Kritik Kütle,da Massa Crítica,의 임계 질량,のクリティカルマス,的临界质量
poq.weapon.suffix.crit_damage.4.tooltip,of Precision Strike,Точного удара,von Präzisionsschlag,de Frappe de Précision,de Golpe de Precisión,Precyzyjnego Uderzenia,Hassas Vuruş,do Golpe de Precisão,의 정밀 스트라이크,の精密打撃,的精准打击
poq.weapon.suffix.crit_damage.5.tooltip,of Lethal Strike,Смертельного удара,von Tödlichem Schlag,de Frappe Mortelle,de Golpe Letal,Śmiertelnego Uderzenia,Ölümcül Vuruş,do Golpe Letal,의 치명적 스트라이크,の致命的打撃,的致命一击
poq.weapon.suffix.accuracy.1.tooltip,of Targeting Assist,Помощи в прицеливании,von Zielhilfe,d'Assistance de Ciblage,de Asistencia de Apuntado,Pomocy w Celu,Hedefleme Yardımı,da Assistência de Alvo,의 목표 보조,のターゲティングアシスト,的目标辅助
poq.weapon.suffix.accuracy.2.tooltip,of Predictive Algorithms,Предиктивных алгоритмов,von Vorhersage-Algorithmen,d'Algorithmes Prédictifs,de Algoritmos Predictivos,Algorytmów Predykcyjnych,Öngörücü Algoritmalar,dos Algoritmos Preditivos,의 예측 알고리즘,の予測アルゴリズム,的预测算法
poq.weapon.suffix.accuracy.3.tooltip,of Gyro-Stabilization,Гиростабилизации,von Gyro-Stabilisierung,de Gyro-Stabilisation,de Giroscopio de Estabilización,Stabilizacji Żyroskopowej,Jiroskopik Stabilizasyon,da Estabilização Giroscópica,의 자이로 안정성,のジャイロ安定,的陀螺稳定
poq.weapon.suffix.accuracy.4.tooltip,of Guided Trajectory,Управляемой траектории,von Geführter Trajektorie,de Trajectoire Guidée,de Trayectoria Guiada,Kierowanej Trajektorii,Rehberli Yörünge,da Trajetória Guiada,의 유도 궤적,の誘導弾道,的引导轨迹
poq.weapon.suffix.accuracy.5.tooltip,of Near-Absolute Aim,Почти абсолютной точности,von Nahezu-Absolute Zielgenauigkeit,d'Aimant Pratiquement Absolu,de Apuntado Casi Absoluto,Prawie Absolutnego Celowania,Neredeyse Mutlak Hedefleme,da Mira Quase Absoluta,의 거의 절대 조준,のほぼ絶対的な目標,的近乎绝对瞄准
poq.weapon.suffix.scatter_angle.1.tooltip,of Wide Dispersion,Широкого рассеивания,von Breiter Verteilung,de Large Dispersion,de Dispersión Amplia,Szerokiej Dyspozycji,Geniş Dağıtım,da Ampla Dispensão,의 넓은 분산,の広範な分散,的广泛分散
poq.weapon.suffix.scatter_angle.2.tooltip,of Controlled Spread,Контролируемого рассеивания,von Kontrollierter Ausbreitung,de Répartition Contrôlée,de Distribución Controlada,Kontrolowanego Rozprzestrzenienia,Kontrollü Yayılma,da Difusão Controlada,의 제어된 확산,の制御された拡散,的受控扩散
poq.weapon.suffix.scatter_angle.3.tooltip,of Tight Grouping,Кучности,von Engem Gruppieren,de Regroupement Serré,de Agrupamiento Compacto,Zbytecznego Gromadzenia,Sıkı Gruplama,do Agrupamento Apertado,의 긴밀한 그룹,のタイトグルーピング,的紧密分组
poq.weapon.suffix.scatter_angle.4.tooltip,of Focused Emission,Фокусированной эмиссии,von Fokussierter Emission,d'Émission Focalisée,de Emisión Focalizada,Skupionej Emisji,Odaklanmış Emisyon,da Emissão Focada,의 집중 배출,の集中排出,的聚焦排放
poq.weapon.suffix.scatter_angle.5.tooltip,of Pinpoint Convergence,Точечной конвергенции,von Punktgenauer Konvergenz,de Convergence Précise,de Convergencia Precisa,Precyzyjnej Konwergencji,Nokta Konverjansı,da Convergência Precisa,의 정확한 집합,のピンポイント収束,的精确汇聚
poq.weapon.suffix.reload_duration.1.tooltip,of Quick-Load,Быстрой перезарядки,von Schnellladung,de Chargement Rapide,de Carga Rápida,Szybkiego Ładowania,Hızlı Yükleme,do Rápido-Carregamento,의 빠른 장전,のクイックロード,的快速装填
poq.weapon.suffix.reload_duration.2.tooltip,of Tactical Reload,Тактической перезарядки,von Taktischer Nachladung,de Rechargement Tactique,de Recarga Táctica,Taktycznego Przeładowania,Taktiksel Yenileme,do Recarga Tática,의 전술적 재장전,のタクティカルリロード,的战术换弹
poq.weapon.suffix.reload_duration.3.tooltip,of Speed Loader,Ускорителя заряжания,von Geschwindigkeits-Lader,de Chargeur Rapide,de Cargador de Alta Velocidad,Ładowania Szybkostrzelnego,Hızlı Yükleyici,do Carregador Rápido,의 스피드 로더,のスピードローダー,的快速装填机
poq.weapon.suffix.reload_duration.4.tooltip,of Rapid Cycling,Быстрого цикла,von Schneller Durchlauf,de Cycle Rapide,de Ciclo Rápido,Szybkiej Cykliczności,Hızlı Döngü,do Ciclo Rápido,의 빠른 주기,のラピッドサイクリング,的快速循环
poq.weapon.suffix.reload_duration.5.tooltip,of Instantaneous Refill,Мгновенного пополнения,von Sofortiger Nachfüllung,de Remplissage Instantané,de Relleno Instantáneo,Natychmiastowego Uzupełnienia,Anında Yenileme,do Reabastecimento Instantâneo,의 즉각적인 재공급,の瞬時給油,的瞬时补给
poq.weapon.suffix.magazine_capacity.1.tooltip,of Enhanced Ammunition,Улучшенных боеприпасов,von Verbesserter Munition,de Munitions Améliorées,de Municiones Mejoradas,Ulepszonej Amunicji,Geliştirilmiş Mühimmat,da Munição Aprimorada,의 개선된 탄약,の強化弾薬,的增强弹药
poq.weapon.suffix.magazine_capacity.2.tooltip,of Dense Payload,Плотного заряда,von Dichtem Payload,de Chargement Dense,de Carga Densa,Gęstej Ładunku,Yoğun Yük,da Carga Densa,의 높은 밀도의 화물,の密なペイロード,的高密度载荷
poq.weapon.suffix.magazine_capacity.3.tooltip,of High-Capacity,Высокой емкости,von Hochkapazität,de Haute Capacité,de Alta Capacidad,Wysokiej Pojemności,Yüksek Kapasiteli,da Alta Capacidade,의 높은 용량,のハイキャパシティ,的高容量
poq.weapon.suffix.magazine_capacity.4.tooltip,of the Drum Magazine,Барабанного магазина,von dem Trommelmagazin,du Chargeur Tambour,del Cargador de Tambor,Magazynu Bębnowego,Makaralı Şarjör,do Carregador de Tambor,의 드럼 탄약,のドラムマガジン,的弹鼓
poq.weapon.suffix.magazine_capacity.5.tooltip,of Infinite Reserves,Бесконечных запасов,von Unendlichen Reserven,de Réserves Infinies,de Reservas Infinitas,Nieskończonych Zapasów,Sonsuz Stok,das Reservas Infinitas,의 무한한 저장,の無限貯蔵,的无限储备
poq.weapon.suffix.special_ability.1.tooltip,of the Enforcer,Карателя,von dem Vollstrecker,de l'Enforcer,del Ejecutor,Egzekutora,Uygulayıcı,do Executor,의 집행자,の執行者,的执行者
poq.weapon.suffix.special_ability.2.tooltip,of the Hunter,Охотника,von dem Jäger,du Chasseur,del Cazador,Łowcy,Avcı,do Caçador,의 헌터,のハンター,的猎人
poq.weapon.suffix.special_ability.3.tooltip,of the Killer,Убийцы,von dem Killer,du Tueur,del Asesino,Zabójcy,Katil,do Matador,의 킬러,のキラー,的杀手
poq.weapon.suffix.special_ability.4.tooltip,of the Predator,Хищника,von dem Raubtier,du Prédateur,del Depredador,Drapieżnika,Yırtıcı,do Predator,의 포식자,のプレデター,的掠食者
poq.weapon.suffix.special_ability.5.tooltip,of Omega Protocol,Протокола Омега,von dem Omega-Protokoll,du Protocole Oméga,del Protocolo Omega,Protokołu Omegi,Omega Protokolü,do Protocolo Ômega,의 오메가 프로토콜,のオメガプロトコル,的欧米伽协议
poq.armor.prefix.1.cloth.tooltip,Worn,Изношенный,Abgenutzt,Usé,Usado,Zużyty,Eskimiş,Usado,닳은,擦り切れた,磨损的
poq.armor.prefix.2.cloth.tooltip,Bio-Hazard,Биологическая угроза,Biogefährdung,Risque biologique,Peligro biológico,Zagrożenie biologiczne,Biyolojik tehlike,Perigo biológico,바이오 위험,生物危険,生物危害
poq.armor.prefix.3.cloth.tooltip,Silkbound,Связанный шелком,Seidengebunden,Lié de soie,Atado con seda,Związany jedwabiem,İpekle bağlanmış,Amarrado em seda,실로 묶인,絹で結ばれた,丝绸系的
poq.armor.prefix.4.cloth.tooltip,Shadow-Embraced,Обнятый тенью,Schattenumarmt,Étreint par l'ombre,Abrigado por la sombra,Objęty cieniem,Gölgeye sarılmış,Abraçado pela sombra,그림자에 안긴,影に抱かれた,被阴影拥抱的
poq.armor.prefix.5.cloth.tooltip,The Drifter's Cloak,Плащ Бродяги,Der Umhang des Herumtreibers,Le manteau du vagabond,La capa del errante,Płaszcz Wędrowca,Göçebe'nin Pelerini,A capa do errante,방랑자의 망토,流浪者のマント,漂泊者的斗篷
poq.armor.prefix.1.heavy_armor.tooltip,Dented,Вмятый,Eingedellt,Bosselé,Abollado,Wgnieciony,Çökük,Amassado,움푹 패인,凹んだ,凹陷的
poq.armor.prefix.2.heavy_armor.tooltip,Cracked,Трещина,Rissig,Fissuré,Agrietado,Pęknięty,Çatlak,Rachado,금이 간,亀裂が入った,有裂缝的
poq.armor.prefix.3.heavy_armor.tooltip,Battle-worn,Боевой износ,Kampfgebeutzt,Éprouvé par la bataille,Gastado por la batalla,Zużyty w walce,Savaşta kullanılmış,Gasto pela batalha,전투로 닳은,戦闘で傷んだ,战斗磨损的
poq.armor.prefix.4.heavy_armor.tooltip,Reinforced,Укрепленный,Verstärkt,Renforcé,Reforzado,Wzmocniony,Takviye edilmiş,Reforçado,강화된,強化された,加固的
poq.armor.prefix.5.heavy_armor.tooltip,Forged-in-Hellfire,Кованный в адском огне,Geschmiedet im Höllenfeuer,Forgé dans le feu de l'enfer,Forjado en fuego infernal,Wykuwany w piekielnym ogniu,Cehennem ateşinde dövülmüş,Forjado no fogo do inferno,지옥의 불 속에서 단조된,地獄の火で鍛えた,在地狱烈火中锻造的
poq.armor.prefix.1.light_armor.tooltip,Swift,Быстрый,Schnell,Rapide,Rápido,Szybki,Hızlı,Rápido,빠른,迅速な,迅速的
poq.armor.prefix.2.light_armor.tooltip,Ender,Завершитель,Beender,Fendeur,Acabador,Kończący,Sonlandırıcı,Acabador,끝내는 자,終わらせる者,结束者
poq.armor.prefix.3.light_armor.tooltip,Combat-Ready,Готов к бою,Kampferprobt,Prêt au combat,Listo para combate,Gotowy do walki,Savaşa hazır,Pronto para combate,전투 준비 완료,戦闘準備完了,准备战斗的
